data,abertura,maxima,minima,fechamento,ajuste_fechamento,volume
2019-03-29,28.450001,28.530001,27.740000,28.059999,27.157915,51587400
2019-04-01,28.400000,28.420000,27.870001,28.000000,27.099842,42289800
2019-04-02,28.139999,28.299999,27.860001,28.290001,27.380522,38460600
2019-04-03,28.530001,28.559999,27.540001,27.540001,26.654634,55120900
2019-04-04,27.770000,28.469999,27.370001,28.469999,27.554733,52248100
2019-04-05,28.540001,28.889999,28.209999,28.780001,27.854771,54708900
2019-04-08,29.059999,29.389999,28.980000,29.250000,28.309662,55270000
2019-04-09,29.030001,29.240000,28.670000,29.160000,28.222553,43863700
2019-04-10,29.549999,29.570000,28.780001,28.780001,27.854771,62005200
2019-04-11,28.700001,28.700001,27.870001,28.000000,27.099842,56126400
2019-04-12,26.469999,26.969999,25.570000,25.830000,24.999605,227307600
2019-04-15,26.350000,26.580000,25.549999,25.930000,25.096392,117567200
2019-04-16,25.950001,27.059999,25.629999,26.719999,25.860992,95149300
2019-04-17,27.120001,27.340000,26.219999,26.750000,25.890032,103988400
2019-04-18,27.360001,27.889999,27.250000,27.600000,26.712704,100942100
2019-04-22,27.690001,27.889999,27.320000,27.440001,26.557846,45321900
2019-04-23,27.719999,28.000000,27.680000,27.680000,26.790133,52199500
2019-04-24,27.719999,27.889999,27.209999,27.600000,26.712704,57704700
2019-04-25,27.450001,28.070000,27.430000,27.799999,26.906275,55201700
2019-04-26,27.680000,27.770000,27.059999,27.250000,26.392464,52616600
2019-04-29,27.549999,27.620001,27.340000,27.370001,26.508688,27689800
2019-04-30,27.520000,27.660000,26.980000,27.110001,26.256868,39570700
2019-05-02,26.799999,26.820000,26.520000,26.730000,25.888826,37820300
2019-05-03,26.900000,27.070000,26.850000,26.850000,26.005053,33334800
2019-05-06,26.389999,26.770000,26.360001,26.770000,25.927568,31715900
2019-05-07,26.650000,26.660000,26.120001,26.350000,25.520786,52454400
2019-05-08,26.309999,27.469999,26.290001,27.370001,26.508688,71780300
2019-05-09,27.100000,27.120001,26.639999,26.830000,25.985682,46663300
2019-05-10,26.870001,26.920000,26.420000,26.680000,25.840403,33336000
2019-05-13,26.209999,26.469999,25.820000,25.900000,25.084946,43146100
2019-05-14,26.170000,26.230000,25.850000,26.000000,25.181801,34968600
2019-05-15,25.740000,25.889999,25.660000,25.879999,25.065577,37053900
2019-05-16,25.770000,26.040001,25.240000,25.270000,24.474773,46502200
2019-05-17,25.049999,25.420000,24.469999,24.680000,23.903339,67291200
2019-05-20,24.680000,25.520000,24.639999,25.520000,24.716906,54472000
2019-05-21,25.700001,26.490000,25.420000,26.490000,25.656378,57846700
2019-05-22,26.340000,26.469999,25.959999,26.290001,25.559160,48439300
2019-05-23,25.900000,25.920000,25.520000,25.840000,25.121672,49527400
2019-05-24,26.150000,26.360001,25.930000,26.090000,25.364719,35915100
2019-05-27,26.299999,26.540001,26.170000,26.240000,25.510550,33892000
2019-05-28,26.129999,26.799999,26.129999,26.799999,26.054981,60774600
2019-05-29,26.490000,26.709999,26.260000,26.500000,25.763321,43124400
2019-05-30,26.510000,26.860001,25.990000,26.150000,25.423052,71847200
2019-05-31,25.790001,26.270000,25.420000,25.549999,24.839729,63137200
2019-06-03,25.879999,26.320000,25.850000,25.990000,25.267500,53470600
2019-06-04,26.290001,26.370001,26.030001,26.200001,25.471663,37331100
2019-06-05,26.180000,26.290001,25.559999,25.860001,25.141113,65282100
2019-06-06,26.170000,26.629999,25.719999,26.280001,25.549438,87836900
2019-06-07,26.690001,26.830000,26.370001,26.760000,26.016094,52235500
2019-06-10,26.600000,26.889999,26.520000,26.650000,25.909151,39666800
2019-06-11,26.889999,27.290001,26.709999,27.160000,26.404974,52437000
2019-06-12,27.020000,27.120001,26.639999,26.850000,26.103594,43392200
2019-06-13,27.150000,27.389999,27.080000,27.180000,26.424419,48981600
2019-06-14,27.200001,27.250000,26.900000,27.059999,26.307755,42802400
2019-06-17,27.080000,27.430000,26.959999,27.110001,26.356363,49290000
2019-06-18,27.299999,27.520000,27.250000,27.450001,26.686914,31332800
2019-06-19,27.350000,27.590000,27.219999,27.520000,26.754967,33286300
2019-06-21,27.950001,28.389999,27.950001,28.280001,27.493839,58424700
2019-06-24,28.320000,28.379999,28.120001,28.250000,27.464672,27365000
2019-06-25,28.139999,28.160000,27.379999,27.510000,26.745245,56472100
2019-06-26,27.549999,27.930000,27.520000,27.670000,26.900797,48901500
2019-06-27,27.440001,27.549999,27.010000,27.230000,26.473028,55219200
2019-06-28,27.450001,27.610001,27.110001,27.410000,26.648024,40262000
2019-07-01,27.840000,28.030001,27.209999,27.260000,26.502195,46759100
2019-07-02,27.260000,27.260000,26.650000,26.820000,26.074425,57954200
2019-07-03,27.040001,27.200001,26.889999,27.180000,26.424419,29291800
2019-07-04,27.379999,27.580000,27.320000,27.389999,26.628580,28577400
2019-07-05,27.270000,27.590000,27.129999,27.400000,26.638304,27414700
2019-07-08,27.500000,27.719999,27.440001,27.650000,26.881351,25318200
2019-07-10,28.000000,28.270000,27.969999,28.070000,27.289677,50715800
2019-07-11,28.200001,28.510000,28.160000,28.400000,27.610502,48206900
2019-07-12,28.540001,28.740000,28.410000,28.530001,27.736893,40908900
2019-07-15,28.590000,28.650000,28.180000,28.180000,27.396618,36592400
2019-07-16,28.280001,28.330000,27.600000,27.830000,27.056347,54789300
